task,model,condition,trial,status,typecheck,visible,hidden,hiddenSummary,costUsd,turns,wallS,isError,terminalReason,category,difficulty,maxTurns,capHit,stopHookRuns,stopHookBlocks,planNextCalls,planVerifyCalls,gitCommits,verifiedSteps,failedSteps,blockedSteps,incompleteSteps,permissionDenials
auto-excerpt,claude-sonnet-5,bare,3,PASS,pass,pass,pass,10 pass 0 fail,1.2157277,40,187,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,3
auto-excerpt,claude-sonnet-5,shipped,2,PASS,pass,pass,pass,10 pass 0 fail,1.3126712999999997,32,187,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
auto-excerpt,claude-haiku-4-5-20251001,bare,1,PASS,pass,pass,pass,10 pass 0 fail,0.32415850000000007,39,152,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-sonnet-5,bare,1,PASS,pass,pass,pass,10 pass 0 fail,1.3351691,37,163,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,3
auto-excerpt,claude-sonnet-5,shipped,1,PASS,pass,pass,pass,10 pass 0 fail,1.5786377999999999,46,185,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,2
auto-excerpt,claude-haiku-4-5-20251001,shipped,2,PASS,pass,pass,pass,10 pass 0 fail,0.44286629999999994,41,176,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
auto-excerpt,claude-opus-5,shipped,3,PASS,pass,pass,pass,10 pass 0 fail,2.2991840000000003,42,211,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-haiku-4-5-20251001,shipped,3,PASS,pass,pass,pass,10 pass 0 fail,0.3410196,34,136,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
auto-excerpt,claude-opus-5,bare,1,PASS,pass,pass,pass,10 pass 0 fail,1.2880945,33,153,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,1
auto-excerpt,claude-opus-5,shipped,2,PASS,pass,pass,pass,10 pass 0 fail,1.6204390000000004,27,167,false,completed,feat,E,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-haiku-4-5-20251001,shipped,1,PASS,pass,pass,pass,3 pass 0 fail,0.2209582,23,81,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-opus-5,bare,3,PASS,pass,pass,pass,3 pass 0 fail,1.3410435000000005,40,131,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,1
unmounted-routes-file,claude-opus-5,shipped,1,PASS,pass,pass,pass,3 pass 0 fail,1.2116404999999997,26,79,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-opus-5,bare,2,PASS,pass,pass,pass,3 pass 0 fail,1.1168115,35,112,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,5
unmounted-routes-file,claude-haiku-4-5-20251001,bare,2,PASS,pass,pass,pass,3 pass 0 fail,0.1053519,15,50,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-sonnet-5,bare,2,PASS,pass,pass,pass,3 pass 0 fail,0.49158650000000004,24,62,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-sonnet-5,shipped,3,PASS,pass,pass,pass,3 pass 0 fail,0.9759080999999998,28,101,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,1
unmounted-routes-file,claude-haiku-4-5-20251001,bare,3,PASS,pass,pass,pass,3 pass 0 fail,0.1118138,17,51,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-sonnet-5,bare,3,PASS,pass,pass,pass,3 pass 0 fail,0.5008760000000001,25,67,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,1
unmounted-routes-file,claude-sonnet-5,shipped,2,PASS,pass,pass,pass,3 pass 0 fail,0.8493632999999999,25,77,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,3
unmounted-routes-file,claude-haiku-4-5-20251001,bare,1,PASS,pass,pass,pass,3 pass 0 fail,0.1310802,18,56,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
unmounted-routes-file,claude-sonnet-5,bare,1,PASS,pass,pass,pass,3 pass 0 fail,0.39507739999999997,18,50,false,completed,bug,M,,false,,0,0,0,0,0,0,0,0,0
